date,close
2026-01-02,20.00
2026-01-03,20.48
2026-01-04,20.16
2026-01-05,20.94
2026-01-06,20.62
2026-01-07,20.90
2026-01-08,21.38
2026-01-09,21.06
2026-01-10,21.84
2026-01-11,21.52
2026-01-12,21.80
2026-01-13,22.28
2026-01-14,21.96
2026-01-15,22.74
2026-01-16,22.42
2026-01-17,22.70
2026-01-18,23.18
2026-01-19,22.86
2026-01-20,23.64
2026-01-21,23.32
2026-01-22,23.60
2026-01-23,24.08
2026-01-24,23.76
2026-01-25,24.54
2026-01-26,24.22
2026-01-27,24.50
2026-01-28,24.98
2026-01-29,24.66
2026-01-30,25.44
2026-01-31,25.12
2026-02-01,25.40
2026-02-02,25.88
2026-02-03,25.56
2026-02-04,26.34
2026-02-05,26.02
2026-02-06,26.30
2026-02-07,26.78
2026-02-08,26.46
2026-02-09,27.24
2026-02-10,26.92
2026-02-11,27.20
2026-02-12,27.68
2026-02-13,27.36
2026-02-14,28.14
2026-02-15,27.82
2026-02-16,28.10
2026-02-17,28.58
2026-02-18,28.26
2026-02-19,29.04
2026-02-20,28.72
2026-02-21,29.00
2026-02-22,29.48
2026-02-23,29.16
2026-02-24,29.94
2026-02-25,29.62
2026-02-26,29.90
2026-02-27,30.38
2026-02-28,30.06
2026-03-01,30.84
2026-03-02,30.52
2026-03-03,30.80
2026-03-04,31.28
2026-03-05,30.96
2026-03-06,31.74
2026-03-07,31.42
