date,close
2026-01-02,400.00
2026-01-03,401.05
2026-01-04,401.30
2026-01-05,402.65
2026-01-06,402.90
2026-01-07,403.75
2026-01-08,404.80
2026-01-09,405.05
2026-01-10,406.40
2026-01-11,406.65
2026-01-12,407.50
2026-01-13,408.55
2026-01-14,408.80
2026-01-15,410.15
2026-01-16,410.40
2026-01-17,411.25
2026-01-18,412.30
2026-01-19,412.55
2026-01-20,413.90
2026-01-21,414.15
2026-01-22,415.00
2026-01-23,416.05
2026-01-24,416.30
2026-01-25,417.65
2026-01-26,417.90
2026-01-27,418.75
2026-01-28,419.80
2026-01-29,420.05
2026-01-30,421.40
2026-01-31,421.65
2026-02-01,422.50
2026-02-02,423.55
2026-02-03,423.80
2026-02-04,425.15
2026-02-05,425.40
2026-02-06,426.25
2026-02-07,427.30
2026-02-08,427.55
2026-02-09,428.90
2026-02-10,429.15
2026-02-11,430.00
2026-02-12,431.05
2026-02-13,431.30
2026-02-14,432.65
2026-02-15,432.90
2026-02-16,433.75
2026-02-17,434.80
2026-02-18,435.05
2026-02-19,436.40
2026-02-20,436.65
2026-02-21,437.50
2026-02-22,438.55
2026-02-23,438.80
2026-02-24,440.15
2026-02-25,440.40
2026-02-26,441.25
2026-02-27,442.30
2026-02-28,442.55
2026-03-01,443.90
2026-03-02,444.15
2026-03-03,445.00
2026-03-04,446.05
2026-03-05,446.30
2026-03-06,447.65
2026-03-07,447.90
